date,emissions_24h_t,emissions_365d_t,intesity_kgCO2e/kWh
2022-09-16,1.766198373011774,644.6624061492976,0.346619933614543
2022-09-17,1.9036952304154653,669.6346094819172,0.346489844741397
2022-09-18,2.3846962633117403,736.3935097670062,0.346359755868251
2022-09-19,2.32524677758794,764.2664648693952,0.346229666995104
2022-09-20,2.3580369437202573,783.3201425153727,0.346099578121958
2022-09-21,2.2990590464486824,792.3808545024209,0.345969489248812
2022-09-22,2.4979426524471835,809.1780748912489,0.345839400375665
2022-09-23,2.44077909487786,844.2902118219141,0.345709311502519
2022-09-24,2.419331481384357,871.1201360345189,0.345579222629373
2022-09-25,2.570470719044033,880.8059427916485,0.345449133756226
2022-09-26,2.5223042713589536,891.0682782740257,0.34531904488308
2022-09-27,2.642356501249363,905.8813345317718,0.345188956009934
2022-09-28,2.553440514946199,919.1196515388896,0.345058867136787
2022-09-29,2.5527009271879293,921.97134990911,0.344928778263641
2022-09-30,2.6874793008537514,934.8225205441332,0.344798689390495
2022-10-01,2.638821285000446,946.2470625579368,0.344668600517348
2022-10-02,2.723694183512473,954.2327426795952,0.344538511644202
2022-10-03,2.757907942438287,966.5043221756024,0.344408422771056
2022-10-04,2.774107699978741,973.3726102502555,0.344278333897909
2022-10-05,2.7110135839274934,981.5724928120334,0.344148245024763
2022-10-06,2.751484623336534,991.9180073225788,0.344018156151617
2022-10-07,3.002673535041542,1008.3481404661622,0.34388806727847
2022-10-08,2.8459354550123583,1019.1297494736024,0.343757978405324
2022-10-09,3.053867524583065,1036.3356247898544,0.343627889532178
2022-10-10,2.9649199863529057,1047.117717184474,0.343497800659031
2022-10-11,2.604485590875311,1038.259174707141,0.343367711785885
2022-10-12,2.748905532656478,1040.2156534956714,0.343237622912739
2022-10-13,2.704369474734176,1037.7444561304435,0.343107534039592
2022-10-14,2.5016473748289028,1011.640655844254,0.342977445166446
2022-10-15,2.7290804827053274,1005.5568977270844,0.3428473562933
2022-10-16,2.688951396489046,986.569565843022,0.342717267420153
2022-10-17,2.719027937148212,973.7834163026342,0.342587178547007
2022-10-18,2.690285952444861,978.2476825497952,0.342457089673861
2022-10-19,2.72979487770481,977.2598674625644,0.342327000800714
2022-10-20,2.682506003528216,976.1227277018934,0.342196911927568
2022-10-21,2.7797601895223543,990.5995764019582,0.342066823054422
2022-10-22,2.694700320321707,988.808131358246,0.341936734181275
2022-10-23,2.759544628457509,992.4854209493218,0.341806645308129
2022-10-24,2.5388502696364768,983.089566692482,0.341676556434983
2022-10-25,2.5212875772691827,974.2762242265628,0.341546467561836
2022-10-26,2.5230521975537177,963.5036219702596,0.34141637868869
2022-10-27,2.523153779918259,955.1996390274918,0.341286289815544
2022-10-28,2.561825738617656,943.8576781373058,0.341156200942397
2022-10-29,2.6071344612232585,939.3060292703468,0.341026112069251
2022-10-30,2.6454631864339366,933.3825314771966,0.340896023196105
2022-10-31,2.614443804934288,937.3208289398748,0.340765934322958
2022-11-01,2.72042588384011,947.6971571082248,0.340635845449812
2022-11-02,2.6776251247192504,955.7459986594772,0.340505756576666
2022-11-03,2.705815961025989,965.256428749728,0.340375667703519
2022-11-04,2.6855841656345,971.6971906987604,0.340245578830373
2022-11-05,2.631861624441742,972.9780205373982,0.340115489957227
2022-11-06,2.7269860984602103,977.2251882194528,0.33998540108408
2022-11-07,2.5705740654692946,974.9280757129368,0.339855312210934
2022-11-08,2.5511166126742126,966.1058361236712,0.339725223337788
2022-11-09,2.604812198203369,962.3126034408292,0.339595134464641
2022-11-10,2.580999820566402,955.8131612925224,0.339465045591495
2022-11-11,2.5927284460662365,950.979897138267,0.339334956718349
2022-11-12,2.61564716531394,950.1372830744574,0.339204867845202
2022-11-13,2.5410767899050217,940.4599037478764,0.339074778972056
2022-11-14,2.589335342931153,941.4364994356424,0.33894469009891
2022-11-15,2.8597484861738174,957.5246809081737,0.338814601225764
2022-11-16,2.9050528574031005,973.1766489982743,0.338684512352617
2022-11-17,2.565085173111869,972.3340317886332,0.338554423479471
2022-11-18,2.687007723043953,977.2392003444444,0.338424334606324
2022-11-19,2.679981349997908,980.5842644226911,0.338294245733178
2022-11-20,2.6779273551266365,987.698806985168,0.338164156860032
2022-11-21,2.6788343608220724,992.3483196855364,0.338034067986886
2022-11-22,2.710659436193308,984.5932690458416,0.337903979113739
2022-11-23,2.773830885475479,977.7792029377376,0.337773890240593
2022-11-24,2.61276593722546,980.2485908379784,0.337643801367447
2022-11-25,2.663863422554157,979.0411055702828,0.3375137124943
2022-11-26,2.554793971508845,972.512281262526,0.337383623621154
2022-11-27,2.583217337334658,967.5748618108144,0.337253534748008
2022-11-28,2.563646208534144,961.5716858961356,0.337123445874861
2022-11-29,2.5798715824928613,954.761886401488,0.336993357001715
2022-11-30,2.518457382734024,941.4673477467936,0.336863268128569
2022-12-01,2.5725827225982547,939.375937124088,0.336733179255422
2022-12-02,2.515418766859209,931.6474633214524,0.336603090382276
2022-12-03,2.586484240224438,933.2993801285388,0.33647300150913
2022-12-04,2.45893881555141,926.8220011538008,0.336342912635983
2022-12-05,2.4738342914890983,922.1415589788712,0.336212823762837
2022-12-06,2.4766400228653724,916.7654761183464,0.336082734889691
2022-12-07,2.494984555593558,915.5416680469284,0.335952646016544
2022-12-08,2.46513975755767,909.9475228557874,0.335822557143398
2022-12-09,2.5297433582687905,910.696792103552,0.335692468270252
2022-12-10,2.533947847928073,907.9694774854164,0.335562379397105
2022-12-11,2.467003870726012,908.3851512182003,0.335432290523959
2022-12-12,2.481400018030794,908.776728771332,0.335302201650813
