date	avg_tx_fee
07.08.2015	0.012073053892215569
08.08.2015	0.015562158590308371
09.08.2015	0.014780046948356806
10.08.2015	0.01664312459651388
11.08.2015	0.0013546191247974068
12.08.2015	0.014467402672864614
13.08.2015	0.010463467951092997
14.08.2015	0.009243008678881387
15.08.2015	0.00516455525606469
16.08.2015	0.004661206535400084
17.08.2015	0.00497116412998766
18.08.2015	0.006410827759197325
19.08.2015	0.004518942033576181
20.08.2015	0.0024884702678166135
21.08.2015	0.002521277705345502
22.08.2015	0.015900143843498273
23.08.2015	0.0021429869810857282
24.08.2015	0.0026138363346250282
25.08.2015	0.001788128681468056
26.08.2015	0.0013798377182198181
27.08.2015	0.0015940608489706687
28.08.2015	0.002204160411752091
29.08.2015	0.0012567807039133645
30.08.2015	0.001446691745961496
31.08.2015	0.001572954014029618
01.09.2015	0.0014947212921016348
02.09.2015	0.0016913766132186155
03.09.2015	0.001598162393162393
04.09.2015	0.0018687702265372166
05.09.2015	0.0021032091479158983
06.09.2015	0.0015893469536665452
07.09.2015	0.0015260752688172044
08.09.2015	0.002401646679792375
09.09.2015	0.0020883363471971067
10.09.2015	0.0017182783466059917
11.09.2015	0.0015743032593292395
12.09.2015	0.001757387190684134
13.09.2015	0.0014075678408899377
14.09.2015	0.0013154182613449971
15.09.2015	0.0015319454817027632
16.09.2015	0.0025784357734806628
17.09.2015	0.0013240891070417217
18.09.2015	0.0013510657352677773
19.09.2015	0.0013443114947038054
20.09.2015	0.001350779014308426
21.09.2015	0.0013505804579168011
22.09.2015	0.0012221282279608193
23.09.2015	0.0013026986506746625
24.09.2015	0.0012824720557265512
25.09.2015	0.001289548611111111
26.09.2015	0.0010452692373025309
27.09.2015	0.0009366011925640127
28.09.2015	0.0009510469909315746
29.09.2015	0.0009698909602532536
30.09.2015	0.0006944675685050294
01.10.2015	0.0009176946250198193
02.10.2015	0.0010443061088977422
03.10.2015	0.0009804079618358284
04.10.2015	0.000924366560461235
05.10.2015	0.0011307195869635367
06.10.2015	0.000952204613211988
07.10.2015	0.0009271361768456851
08.10.2015	0.0009342990246032901
09.10.2015	0.0010764293178086282
10.10.2015	0.0011403330249768733
11.10.2015	0.000979069379586391
12.10.2015	0.0009106602900339402
13.10.2015	0.0008348110681344838
14.10.2015	0.0008911878535278356
15.10.2015	0.001342505557319784
16.10.2015	0.0015510097232610321
17.10.2015	0.0007022198075131947
18.10.2015	0.0008012173913043478
19.10.2015	0.0006914091470951792
20.10.2015	0.000672233676975945
21.10.2015	0.000698970083374203
22.10.2015	0.0007082763584023029
23.10.2015	0.0008210699202252464
24.10.2015	0.0005131979695431472
25.10.2015	0.0008899217755139168
26.10.2015	0.0009156501927795302
27.10.2015	0.0009717243510506799
28.10.2015	0.0010286
29.10.2015	0.0010223746849621956
30.10.2015	0.001535511474134578
31.10.2015	0.001240151202749141
01.11.2015	0.0011497681376215407
02.11.2015	0.0013445606368034963
03.11.2015	0.001201100110011001
04.11.2015	0.001095717160103478
05.11.2015	0.0010428104129753305
06.11.2015	0.0016034739454094294
07.11.2015	0.0016433094609875614
08.11.2015	0.001835759439603622
09.11.2015	0.0012768773135906927
10.11.2015	0.0011873177441540578
11.11.2015	0.0010845595158036315
12.11.2015	0.0009954558011049724
13.11.2015	0.0009913534896863522
14.11.2015	0.002149599887687772
15.11.2015	0.001433572534121289
16.11.2015	0.0011977914110429446
17.11.2015	0.001165798045602606
18.11.2015	0.0012181568842567197
19.11.2015	0.001351338045947993
20.11.2015	0.0014892634606167119
21.11.2015	0.0014258298755186723
22.11.2015	0.0014472605663867937
23.11.2015	0.0014268508287292817
24.11.2015	0.0014667327854916406
25.11.2015	0.0014497150997150998
26.11.2015	0.0011306489553064897
27.11.2015	0.001119610870907968
28.11.2015	0.0010282336997440144
29.11.2015	0.0010291054739652872
30.11.2015	0.002024294617563739
01.12.2015	0.001411866946359005
02.12.2015	0.0012887631620304887
03.12.2015	0.0011311922569291685
04.12.2015	0.0012372002398081535
05.12.2015	0.0013422439759036146
06.12.2015	0.0011169445389588295
07.12.2015	0.0010184788812785388
08.12.2015	0.0009153881209175149
09.12.2015	0.0009313395729745541
10.12.2015	0.0010092887841397478
11.12.2015	0.001174927612529613
12.12.2015	0.0011885689729265148
13.12.2015	0.0012223576652803671
14.12.2015	0.0012214322984607357
15.12.2015	0.001420934065934066
16.12.2015	0.0012679682733374009
17.12.2015	0.0012719813829787235
18.12.2015	0.0013764551422319475
19.12.2015	0.0012227995612832466
20.12.2015	0.0015097129374754227
21.12.2015	0.0019195311730522998
22.12.2015	0.001680203652084874
23.12.2015	0.002077870447595218
24.12.2015	0.002016746889474162
25.12.2015	0.0012534187475486992
26.12.2015	0.001657663830257487
27.12.2015	0.0011906912209889002
28.12.2015	0.0012506228409923585
29.12.2015	0.001306137907987078
30.12.2015	0.0014000405679513183
31.12.2015	0.0014285845693917444
01.01.2016	0.0011584145021645022
02.01.2016	0.0011729073482428115
03.01.2016	0.0011571989363049259
04.01.2016	0.0012047298140521652
05.01.2016	0.0012071384078734273
06.01.2016	0.0014025816338559473
07.01.2016	0.0020129864706864876
08.01.2016	0.001463708905202681
09.01.2016	0.0020515670402656704
10.01.2016	0.0014617336626993039
11.01.2016	0.0013265129371007904
12.01.2016	0.0015868406918036308
13.01.2016	0.001865843888708455
14.01.2016	0.0017763905783478933
15.01.2016	0.0018939903292654848
16.01.2016	0.002068571135501077
17.01.2016	0.0017803522590526199
18.01.2016	0.0027531701512833588
19.01.2016	0.0028814997212414047
20.01.2016	0.001911713894448541
