"date","Altcoin Market Cap","MarketCap"
"2016-02-19","1049336675.44","6435326200.45"
"2016-02-20","1038201481.35","6659557330.12"
"2016-02-22","1146660871.88","6685299212.3"
"2016-02-23","1126162910","6396818224.93"
"2016-02-24","1190031281.94","6420899755.28"
"2016-02-25","1144723512.36","6467023017"
"2016-02-26","1163213801.35","6565982455.5"
"2016-02-27","1190882108.55","6506687805.75"
"2016-02-28","1213689058.82","6675612710.38"
"2016-02-29","1199683494.71","6662446584.05"
"2016-03-01","1284278995.98","6626506923.6"
"2016-03-02","1360790694.99","6426973080"
"2016-03-03","1418304737.54","6493828921.85"
"2016-03-04","1522505589.11","6249195621.25"
"2016-03-05","1601892438.79","6148846166.07"
"2016-03-06","1558510511.98","6265639929.32"
"2016-03-07","1437762498.99","6361940474.92"
"2016-03-08","1564342422.79","6299091353.88"
"2016-03-09","1691662338.12","6326757581.73"
"2016-03-10","1625951701.56","6452303123.18"
"2016-03-11","1842807331.17","6365190924.4"
"2016-03-12","1895847551.59","6339923028.75"
"2016-03-13","1857129834.84","6378073330.2"
"2016-03-14","1764387711.08","6401551664.38"
"2016-03-15","1823188070.34","6380556370.17"
"2016-03-16","1756195684.28","6435605950.3"
"2016-03-17","1598552862.54","6402774683.9"
"2016-03-18","1530286736.92","6281751133.9"
"2016-03-19","1597868187.38","6319501647.6"
"2016-03-20","1588622949.55","6305552571.73"
"2016-03-21","1683775130.75","6398392346.1"
"2016-03-22","1717452939.06","6423460341.9"
"2016-03-23","1686576720.18","6418763922.4"
"2016-03-24","1649153057.99","6393016010.05"
"2016-03-25","1656810351.59","6421104932.02"
"2016-03-26","1667786313.22","6422508694.05"
"2016-03-27","1683013932.77","6549309182.85"
"2016-03-28","1693256223.09","6522271609.68"
"2016-03-29","1720266767.3","6370307496.75"
"2016-03-30","1710359398.95","6405171784.05"
"2016-03-31","1699554623.75","6405705894"
"2016-04-01","1680677651.12","6473908571.9"
"2016-04-02","1695383085.86","6466468893.52"
"2016-04-03","1708561573.42","6500566194.53"
"2016-04-04","1644458497.38","6521821509.45"
"2016-04-05","1599748448.33","6533235834.9"
"2016-04-06","1614980796.13","6501247179.9"
"2016-04-07","1550679274.21","6532873176.15"
"2016-04-08","1530373024.12","6438285674.15"
"2016-04-09","1398842486.95","6473485254.3"
"2016-04-10","1373917608","6495266900.18"
"2016-04-11","1311359203.27","6561977002.8"
"2016-04-12","1262584892.28","6560529803.1"
"2016-04-13","1349422720.15","6531992080.57"
"2016-04-14","1371921935.97","6560001051.2"
"2016-04-15","1359430368.41","6654426699.75"
"2016-04-16","1406777279.52","6633200452.73"
"2016-04-17","1453923244.41","6622978986"
"2016-04-18","1472532775.15","6620756666.8"
"2016-04-19","1432013797.26","6742868352.5"
"2016-04-20","1446424621.94","6823715743.95"
"2016-04-21","1415439897.8","6883145722"
"2016-04-22","1387157463.81","6883222520.45"
"2016-04-23","1423912324.42","7005305054.47"
"2016-04-24","1403521677.8","7072938383.7"
"2016-04-25","1342079339.63","7176218359.98"
"2016-04-26","1349401651.72","7222188437.5"
"2016-04-27","1345653666.74","6831230230.38"
"2016-04-28","1351078976.27","6941618620.65"
"2016-04-29","1366049415.1","7028645291.25"
"2016-04-30","1449391061.71","6962258184.7"
"2016-05-01","1478733729.42","7006893765.75"
"2016-05-02","1519842153.9","6891829036.3"
"2016-05-03","1500056602.57","6972717002.85"
"2016-05-04","1500388111.37","6929624417.8"
"2016-05-05","1536932891.67","6975799194"
"2016-05-06","1515585274.9","7107616192.5"
"2016-05-07","1479239935.39","7123956520"
"2016-05-08","1529638617.4","7088291270.4"
"2016-05-09","1504556461.91","7140298920.3"
"2016-05-10","1499442708.29","7032174874.45"
"2016-05-11","1536200913.83","6983074720.58"
"2016-05-12","1613795504.43","7049792273.1"
"2016-05-13","1571104656.88","7077102248.45"
"2016-05-14","1562284130.17","7084362991.4"
"2016-05-15","1567158758.36","7096329455.22"
"2016-05-16","1657886941.15","7065370181"
"2016-05-17","1771556105.3","7076217450"
"2016-05-18","1833147973.41","7069987083.38"
"2016-05-19","1912212321.06","6882123992.25"
"2016-05-20","1855648699.2","6879651352.9"
"2016-05-21","1896166743.02","6895432568.7"
"2016-05-22","1915652931.94","6878058386.85"
"2016-05-23","1852566989.12","6928074774"
"2016-05-24","1749043596.41","6982849442.4"
"2016-05-25","1770920195.02","7016174631"
"2016-05-26","1733165938.33","7418403451.55"
"2016-05-27","1664974747.57","7832268545.4"
"2016-05-28","1810771065.09","8130232593"
"2016-05-29","1960084935.86","8309744445.45"
"2016-05-30","1992750242.19","8422014386.25"
"2016-05-31","2098076865.45","8310104588.92"
"2016-06-01","2081842146.62","8400281258.48"
"2016-06-02","2095976709.85","8394395126.4"
"2016-06-03","2100833880.07","9035312051.95"
"2016-06-04","2101165773.9","9008526139.12"
"2016-06-05","2122196870.42","9100295461.6"
"2016-06-06","2137205985.67","9140978617.23"
"2016-06-07","2182329557.11","8967156503.2"
"2016-06-08","2185126597.57","9042266962.27"
"2016-06-09","2175910161.48","8982882720.9"
"2016-06-10","2151409118.33","9115871032.8"
"2016-06-11","2222372220.36","9816178590"
"2016-06-12","2405070339.94","10639573103.2"
"2016-06-13","2600911398.66","10794625551"
"2016-06-14","2669878672.68","10660270686.1"
"2016-06-15","2817878270.39","11491342956.7"
"2016-06-16","2830298023.49","11239205859.4"
"2016-06-17","2214097637.25","11684929339"
"2016-06-18","2091013789.26","11802180693.5"
"2016-06-19","1972654396.49","11945254502.4"
"2016-06-20","2043893308.89","11134641506.1"
"2016-06-21","2368721782.44","10441216757"
"2016-06-22","2061440750.75","9269723956.5"
"2016-06-23","2199473272.82","10228012314.1"
"2016-06-24","2231171591.01","10579635126.4"
"2016-06-25","2229667258.16","10252271991.6"
"2016-06-26","2217880988.36","10146893275.8"
"2016-06-27","2234788355.68","10198889191.9"
"2016-06-28","2114063425.38","9978200989.2"
"2016-06-29","2158262575.7","10057712569.6"
