date,emissions_24h,emissions_365d,intensity
2015-07-30,6.337811322433488e-07,0.0002313301132687,0.505
2015-07-31,2.8293444704506206e-06,0.0006320204224916,0.505
2015-08-01,3.1765032275757007e-06,0.0008078215076827,0.505
2015-08-02,3.734655360455484e-06,0.0009466534324036,0.505
2015-08-03,4.100284957628196e-06,0.0010566435478297,0.505
2015-08-04,4.509683042553193e-06,0.0011548753416134,0.505
2015-08-05,4.736946623697972e-06,0.0012368910810472,0.505
2015-08-06,4.856711468235143e-06,0.001457086734281,0.505
2015-08-07,5.239530199454664e-06,0.0015827607044362,0.505
2015-08-08,5.766751084049832e-06,0.0017178236283809,0.505
2015-08-09,6.0306896756589e-06,0.0018375454176737,0.505
2015-08-10,6.631250514857257e-06,0.0019695171931578,0.505
2015-08-11,7.409649970623876e-06,0.0021207297544072,0.505
2015-08-12,7.862335341964282e-06,0.0022836964518597,0.505
2015-08-13,8.610527643607814e-06,0.0024794311524327,0.505
2015-08-14,1.0817260363292978e-05,0.0027702699395471,0.505
2015-08-15,1.2517723315621717e-05,0.0031222849201933,0.505
2015-08-16,1.2747995720993378e-05,0.0034725444497001,0.505
2015-08-17,1.4234261995847195e-05,0.0038689871912088,0.505
2015-08-18,1.4870926301609342e-05,0.0042580394570388,0.505
2015-08-19,1.561554462041538e-05,0.0046623139408437,0.505
2015-08-20,1.2176561460101654e-05,0.0048482571327038,0.505
2015-08-21,1.524530007484427e-05,0.0050791477748061,0.505
2015-08-22,1.7187909476279728e-05,0.0053226646246118,0.505
2015-08-23,1.7434792030150415e-05,0.0055670475750179,0.505
2015-08-24,1.832782828640445e-05,0.0057804978173112,0.505
2015-08-25,1.788223249370557e-05,0.0059375159258991,0.505
2015-08-26,1.8867912915608012e-05,0.0061071037012913,0.505
2015-08-27,1.875358736749044e-05,0.0064500486236051,0.505
2015-08-28,1.952778823240298e-05,0.0066733497918206,0.505
2015-08-29,1.932677861645124e-05,0.0067848765398439,0.505
2015-08-30,1.86995720056432e-05,0.0068508257814232,0.505
2015-08-31,1.9754901721796015e-05,0.0069252374676972,0.505
2015-09-01,1.9980027666787608e-05,0.0070346225017221,0.505
2015-09-02,1.956886217758677e-05,0.0070711719989539,0.505
2015-09-03,1.865427339291629e-05,0.0070659934845654,0.505
2015-09-04,1.9248617041818275e-05,0.0070514367010563,0.505
2015-09-05,2.0611815333933906e-05,0.0071184421870394,0.505
2015-09-06,2.1358896431493185e-05,0.0072571069606729,0.505
2015-09-07,2.0881116913934736e-05,0.0073158310385488,0.505
2015-09-08,2.038708376307913e-05,0.0073370561064268,0.505
2015-09-09,2.122979226328361e-05,0.0074236617466096,0.505
2015-09-10,2.1557460611702663e-05,0.0075750422230177,0.505
2015-09-11,2.3184945696110472e-05,0.0077802936457058,0.505
2015-09-12,2.332305710957212e-05,0.0079216655382927,0.505
2015-09-13,2.379003082466132e-05,0.0080484318316507,0.505
2015-09-14,2.1972683251424235e-05,0.0081053492192484,0.505
2015-09-15,2.132179088420932e-05,0.0081540875191359,0.505
2015-09-16,2.110746402219416e-05,0.0081477089751362,0.505
2015-09-17,1.9911233984142062e-05,0.0080618700152706,0.505
2015-09-18,1.903651605804394e-05,0.0078455590412857,0.505
2015-09-19,1.965899331902093e-05,0.0076545042864926,0.505
2015-09-20,2.2470468730191336e-05,0.0075856985487095,0.505
2015-09-21,2.253962499194868e-05,0.007615260510894,0.505
2015-09-22,2.25484956436348e-05,0.0076792244019212,0.505
2015-09-23,2.412871361906622e-05,0.0078367609880438,0.505
2015-09-24,2.398491307175667e-05,0.0080491742547552,0.505
2015-09-25,2.4385465481023763e-05,0.008328083760382,0.505
2015-09-26,2.4224519489408305e-05,0.0085661433392665,0.505
2015-09-27,2.344707808008443e-05,0.0086170665410823,0.505
2015-09-28,2.1523652035802616e-05,0.008564090808369,0.505
2015-09-29,1.9093223996445387e-05,0.0083839230724798,0.505
2015-09-30,1.830247420813008e-05,0.0080801263031953,0.505
2015-10-01,2.0082783283615237e-05,0.0078766581070994,0.505
2015-10-02,2.080904213846765e-05,0.0076901731756661,0.505
2015-10-03,2.1492347959679665e-05,0.0075477099459017,0.505
2015-10-04,2.0404351538093783e-05,0.0073890534904979,0.505
2015-10-05,2.1201083813768404e-05,0.0073722338617775,0.505
2015-10-06,2.025994586584097e-05,0.0074330700735389,0.505
2015-10-07,2.017356014894812e-05,0.0075306338404529,0.505
2015-10-08,2.062535852406247e-05,0.0075589252637048,0.505
2015-10-09,2.006609774140542e-05,0.0075201860201437,0.505
2015-10-10,1.982687414628832e-05,0.0074333434570169,0.505
2015-10-11,2.099701167213864e-05,0.0074642464497207,0.505
2015-10-12,2.124166078491881e-05,0.0074663622489306,0.505
2015-10-13,2.1878032555218632e-05,0.0075507339120196,0.505
2015-10-14,2.1674118087662312e-05,0.0076289772902526,0.505
2015-10-15,2.0500135598378307e-05,0.0076224478091276,0.505
2015-10-16,1.907886632685654e-05,0.0075709707425119,0.505
2015-10-17,2.050996990571225e-05,0.0076065893071104,0.505
2015-10-18,1.992804124117796e-05,0.0075508501346389,0.505
2015-10-19,1.9844959186421616e-05,0.0074780221227172,0.505
2015-10-20,1.9760839393696715e-05,0.0073676256221521,0.505
2015-10-21,1.973802494916933e-05,0.0072666721942164,0.505
2015-10-22,1.8754208662658956e-05,0.0071756345754253,0.505
2015-10-23,2.0927357089333537e-05,0.0072720201651831,0.505
2015-10-24,2.2035457731436902e-05,0.007351563458953,0.505
2015-10-25,2.2840175911944203e-05,0.0075034104810715,0.505
2015-10-26,2.1954308990687403e-05,0.0076133980065797,0.505
2015-10-27,2.329381549442971e-05,0.0077976174746893,0.505
2015-10-28,2.3373572659437985e-05,0.0079871853195819,0.505
2015-10-29,2.513583854007641e-05,0.0083199417346187,0.505
2015-10-30,2.6664314051974694e-05,0.0086190830619564,0.505
2015-10-31,2.8181530343445805e-05,0.008939556848154,0.505
2015-11-01,2.8631451705491144e-05,0.0092415305145318,0.505
2015-11-02,2.7183954146844647e-05,0.0095142191548172,0.505
2015-11-03,2.6400533322971724e-05,0.009676212298734,0.505
2015-11-04,2.795445142826652e-05,0.0099150724059658,0.505
2015-11-05,2.6903826048857226e-05,0.0100072603260665,0.505
2015-11-06,2.7019175570309044e-05,0.0100257638195225,0.505
2015-11-07,2.6288919096147025e-05,0.0099270776616276,0.505
2015-11-08,2.7426780567008068e-05,0.0098642626665496,0.505
2015-11-09,2.7300871158720847e-05,0.0098703590535974,0.505
2015-11-10,2.7787286762459454e-05,0.009942668340085,0.505
2015-11-11,2.7981183504084925e-05,0.0099440622268955,0.505
2015-11-12,2.84530355132026e-05,0.0100248424346792,0.505
2015-11-13,2.9045369169899657e-05,0.0101304939580864,0.505
2015-11-14,2.940408679000951e-05,0.0102929277021236,0.505
2015-11-15,3.0254363522195106e-05,0.0104403659562155,0.505
2015-11-16,2.975605909923306e-05,0.0105683864702565,0.505
2015-11-17,2.946070131619553e-05,0.0106556430862727,0.505
2015-11-18,3.0270490600625364e-05,0.0107750140991638,0.505
2015-11-19,3.0389969477839702e-05,0.0108760113701769,0.505
2015-11-20,2.6004381521169573e-05,0.010717445585636,0.505
2015-11-21,2.639414690365571e-05,0.0105604987201333,0.505
2015-11-22,2.6403728158465925e-05,0.0103597155904531,0.505
2015-11-23,2.6826195959819477e-05,0.0102069441553266,0.505
2015-11-24,2.675323160491195e-05,0.0100657689489525,0.505
2015-11-25,2.584709475825525e-05,0.0098351204514575,0.505
2015-11-26,2.5888756470248008e-05,0.0096004143446331,0.505
2015-11-27,2.7102133013082982e-05,0.0096576542438543,0.505
2015-11-28,2.7411445189151344e-05,0.0097106990830265,0.505
2015-11-29,2.751495387685829e-05,0.0097686415669141,0.505
2015-11-30,2.771134901559481e-05,0.009814795976251,0.505
2015-12-01,2.827786371960294e-05,0.0098942946508027,0.505
2015-12-02,2.6489193708913107e-05,0.0099277755246585,0.505
2015-12-03,2.772693342663906e-05,0.0100236233230989,0.505
2015-12-04,2.7117487447818076e-05,0.0100244239471958,0.505
2015-12-05,2.8146054395064527e-05,0.0100627285700755,0.505
2015-12-06,2.680946860858492e-05,0.0100259425525156,0.505
2015-12-07,2.659472024481263e-05,0.009967718338039,0.505
2015-12-08,2.5817621688518808e-05,0.0098394342892754,0.505
2015-12-09,2.7173312315186363e-05,0.0098751061880311,0.505
2015-12-10,2.775406073720276e-05,0.0098765206835105,0.505
2015-12-11,2.829069110448768e-05,0.0099376948741796,0.505
2015-12-12,2.847647815360108e-05,0.0099549241130176,0.505
2015-12-13,3.061222704681637e-05,0.0101532108030111,0.505
2015-12-14,2.9766950398972343e-05,0.0103186199467638,0.505
2015-12-15,3.077266522429711e-05,0.0105769900739865,0.505
2015-12-16,2.9364972574022296e-05,0.0106912695017686,0.505
2015-12-17,3.045661464892153e-05,0.0108321883843082,0.505
2015-12-18,3.035916729610411e-05,0.0109400446428711,0.505
2015-12-19,3.0173175292598512e-05,0.0110285152794045,0.505
2015-12-20,2.9313417104009757e-05,0.010960791618101,0.505
2015-12-21,2.9221913940893303e-05,0.0109323718599298,0.505
2015-12-22,3.105875169648934e-05,0.0109472892259798,0.505
2015-12-23,3.0406266738033123e-05,0.0110015852788175,0.505
2015-12-24,2.965959158024791e-05,0.0109600262188081,0.505
2015-12-25,2.9643432557361505e-05,0.0109227057645737,0.505
2015-12-26,2.910440212504043e-05,0.0108669768779795,0.505
2015-12-27,2.9986505194021928e-05,0.0109020736141016,0.505
2015-12-28,2.9967036432473388e-05,0.010940926429734,0.505
2015-12-29,2.9810000463890456e-05,0.0108758129726057,0.505
2015-12-30,2.9394564651477383e-05,0.0108230599352353,0.505
