date,emissions_24h_mt,emissions_365d_mt,intesity_kgCO2e/kWh
2010-07-18,3.073570627967137e-07,0.0001121853279207,0.524
2010-07-19,3.091431129995999e-07,0.0001125112820827,0.524
2010-07-20,3.139085536739675e-07,0.0001131997287522,0.524
2010-07-21,3.279065406299232e-07,0.0001148212683966,0.524
2010-07-22,3.252258812455912e-07,0.0001155985040482,0.524
2010-07-23,3.287998957480332e-07,0.0001163340803648,0.524
2010-07-24,3.300761644905721e-07,0.0001169260403183,0.524
2010-07-25,3.451373708577697e-07,0.0001188960135243,0.524
2010-07-26,3.627517747433787e-07,0.0001216913223152,0.524
2010-07-27,3.728460416882637e-07,0.0001247644913331,0.524
2010-07-28,3.746040876196755e-07,0.0001271994348547,0.524
2010-07-29,3.914875517326752e-07,0.000130654507673,0.524
2010-07-30,4.044625813107866e-07,0.0001345997762773,0.524
2010-07-31,4.259257338597581e-07,0.0001395976466801,0.524
2010-08-01,4.490298235685255e-07,0.000145014896,0.524
2010-08-02,4.701006334454349e-07,0.0001506123722038,0.524
2010-08-03,4.917533098518553e-07,0.0001568125369009,0.524
2010-08-04,5.20599406698473e-07,0.0001644251499672,0.524
2010-08-05,5.389614397710048e-07,0.0001721148598435,0.524
2010-08-06,5.492559796876417e-07,0.0001796648013302,0.524
2010-08-07,5.563003268847406e-07,0.0001864629051094,0.524
2010-08-08,5.727707987113581e-07,0.000192915113099,0.524
2010-08-09,5.837544134291084e-07,0.0001988413459124,0.524
2010-08-10,6.003841418702687e-07,0.0002045056678677,0.524
2010-08-11,6.323174974933049e-07,0.0002103309683163,0.524
2010-08-12,6.596004468231098e-07,0.0002166214308268,0.524
2010-08-13,6.932737446061004e-07,0.000224130928569,0.524
2010-08-14,7.55668392935506e-07,0.0002345265491559,0.524
2010-08-15,7.717496336757812e-07,0.0002449018741219,0.524
2010-08-16,7.834489131089733e-07,0.000255314515891,0.524
2010-08-17,7.816996361918611e-07,0.0002647688238092,0.524
2010-08-18,7.620307371172173e-07,0.0002715324427324,0.524
2010-08-19,7.517240337291315e-07,0.0002763360297639,0.524
2010-08-20,7.841467569243865e-07,0.0002810744082634,0.524
2010-08-21,7.694940169007066e-07,0.0002817953157987,0.524
2010-08-22,8.074316014763032e-07,0.0002836558755483,0.524
2010-08-23,8.549276945102035e-07,0.0002873829834357,0.524
2010-08-24,9.168165687245062e-07,0.0002944283663463,0.524
2010-08-25,9.765465681924629e-07,0.0003056138346809,0.524
2010-08-26,1.0327166307260951e-06,0.0003202655915244,0.524
2010-08-27,1.043722309415311e-06,0.0003338006024757,0.524
2010-08-28,1.068244150726368e-06,0.0003493782880251,0.524
2010-08-29,1.0576876718664509e-06,0.0003624273545526,0.524
2010-08-30,1.03501580970124e-06,0.0003718176634162,0.524
2010-08-31,1.041585215769e-06,0.0003783234571549,0.524
2010-09-01,1.0237671444544896e-06,0.0003807856729171,0.524
2010-09-02,9.503086468755444e-07,0.0003764886851878,0.524
2010-09-03,8.843709484306108e-07,0.0003681796499364,0.524
2010-09-04,8.280128458192124e-07,0.0003556533033234,0.524
2010-09-05,7.704763908050531e-07,0.0003406772865253,0.524
2010-09-06,7.207518615845749e-07,0.0003242906663734,0.524
2010-09-07,6.413707328505661e-07,0.0003034223397641,0.524
2010-09-08,5.985068249030313e-07,0.0002812480516732,0.524
2010-09-09,5.976783396610267e-07,0.0002628608999399,0.524
2010-09-10,6.173425979513971e-07,0.0002489372788078,0.524
2010-09-11,6.183514831703237e-07,0.0002380049363268,0.524
2010-09-12,6.375037821855257e-07,0.0002310713645916,0.524
2010-09-13,6.567271178216772e-07,0.000227732931524,0.524
2010-09-14,6.936603786648665e-07,0.0002304594630557,0.524
2010-09-15,6.978394795954698e-07,0.000235638951479,0.524
2010-09-16,7.470161498614701e-07,0.0002434258515823,0.524
2010-09-17,7.651646849025103e-07,0.0002511337175448,0.524
2010-09-18,8.102432029455023e-07,0.0002611395000759,0.524
2010-09-19,8.607869151611695e-07,0.000272782120581,0.524
2010-09-20,9.136868955735872e-07,0.0002861807375638,0.524
2010-09-21,9.24487105181014e-07,0.0002982167025893,0.524
2010-09-22,9.566995695585008e-07,0.0003117144072802,0.524
2010-09-23,1.0048647113824696e-06,0.0003251593679881,0.524
2010-09-24,1.0549465203605212e-06,0.000340269420837,0.524
2010-09-25,1.072222791776879e-06,0.0003539297851117,0.524
2010-09-26,1.0725740100469704e-06,0.0003649729693451,0.524
2010-09-27,1.0921718573568245e-06,0.0003742796852095,0.524
2010-09-28,1.13450125816907e-06,0.0003852304231868,0.524
2010-09-29,1.1809483049747252e-06,0.000396923392962,0.524
2010-09-30,1.1626788424766267e-06,0.0004051522726548,0.524
2010-10-01,1.1575955940426357e-06,0.0004105046886396,0.524
2010-10-02,1.10986294959924e-06,0.0004124673540118,0.524
2010-10-03,1.0874621293878737e-06,0.0004132436630917,0.524
2010-10-04,1.0805418408958411e-06,0.0004126372408048,0.524
2010-10-05,1.0450165919604472e-06,0.0004079712546382,0.524
2010-10-06,1.0525976862287537e-06,0.0004012786866608,0.524
2010-10-07,1.067758057549483e-06,0.0003963292457324,0.524
2010-10-08,1.067758057549483e-06,0.000391644859901,0.524
2010-10-09,1.1305669857785777e-06,0.0003927244275018,0.524
2010-10-10,1.1912111142845971e-06,0.000398134196,0.524
2010-10-11,1.1977084870798146e-06,0.0004042435996938,0.524
2010-10-12,1.2350113035533855e-06,0.0004141504667983,0.524
2010-10-13,1.249005517880434e-06,0.0004243917323059,0.524
2010-10-14,1.3077296752029503e-06,0.0004369045380835,0.524
2010-10-15,1.3412655683488704e-06,0.0004511660011466,0.524
2010-10-16,1.4621352049020005e-06,0.0004684549154295,0.524
2010-10-17,1.5749248388251965e-06,0.000488462845352,0.524
2010-10-18,1.6845244328637888e-06,0.0005138468196679,0.524
2010-10-19,1.8004809784694208e-06,0.0005433320241456,0.524
2010-10-20,1.900067712983376e-06,0.000577280267176,0.524
2010-10-21,1.9710068650806817e-06,0.0006118654349339,0.524
2010-10-22,2.04248457388583e-06,0.0006484289973655,0.524
2010-10-23,2.0593582493833538e-06,0.0006795699132563,0.524
2010-10-24,2.1155961249722787e-06,0.0007077620588911,0.524
2010-10-25,2.1920711774608614e-06,0.0007342269962879,0.524
2010-10-26,2.327686694910653e-06,0.0007617170086452,0.524
2010-10-27,2.404834117276953e-06,0.0007880369711548,0.524
2010-10-28,2.488399615744061e-06,0.0008150153074394,0.524
2010-10-29,2.610171252181805e-06,0.0008446161128077,0.524
2010-10-30,2.757674665546772e-06,0.0008810283259362,0.524
2010-10-31,2.850367543799386e-06,0.0009193414070608,0.524
2010-11-01,2.9415108325066367e-06,0.000958419331931,0.524
2010-11-02,2.963051448799277e-06,0.0009915490655266,0.524
2010-11-03,3.069553515760685e-06,0.0010262094341619,0.524
2010-11-04,3.193396778307407e-06,0.0010629700004955,0.524
2010-11-05,3.3558823106351327e-06,0.0011018535056863,0.524
2010-11-06,3.45303727989168e-06,0.0011381116991486,0.524
2010-11-07,3.61045443191592e-06,0.0011777448011718,0.524
2010-11-08,3.859275890929219e-06,0.0012255996935038,0.524
2010-11-09,4.072519566946474e-06,0.0012834505310929,0.524
2010-11-10,4.346355828620995e-06,0.0013500266516921,0.524
2010-11-11,4.651867815180328e-06,0.0014260754986148,0.524
2010-11-12,4.725412194050055e-06,0.0014974866996785,0.524
2010-11-13,5.002663169572935e-06,0.0015782886210691,0.524
2010-11-14,5.344455045263627e-06,0.0016687043673365,0.524
2010-11-15,5.391301218758151e-06,0.0017485885451447,0.524
